,0,1,2,3,4
634,haryana incompetentcm,haryana,kherkidaulatoll dwarkaexpresway,in haryana,incompetentcm kherkidaulatoll
635,gandhi slams,rahul gandhi,gandhi,slams liar,chief modi
636,priyanka gandhi,president rahulgandhi,gandhi and,gandhi,rahulgandhi
637,comeagainmodiji teammodi,narendramodi ji,ji development,comeagainmodiji,giri nagar
638,nda govt,,,,
639,ghulam nabi,ghulam be,ghulam,nabi azad,is ghulamnabibhat
640,,,,,
641,,,,,
642,,,,,
643,cbn is,cbn,cbn announces,bjp cbn,pacha gorre
644,,,,,
645,about jews,ilhan omar,,,
646,modi govt,,,,
647,bjp modifor2019,communal riots,bjp,,
648,priyanka gandhi,priyanka events,,,
649,,,,,
650,,,,,
651,,,,,
652,fruit pies,,,,
653,bjp troll,plant bjp,,,
654,congress yawns,yawns threatens,starts war,war congress,
655,bjp congress,bjp,after jharkhand,jharkhand mahagathbandhan,for bjp
656,arnab goswami,of bjp,goswami as,goswami,
657,satyajit probably,satyajit,says satyajit,,
658,bjp,bjp will,the bjp,,
659,congress karyakartas,,,,
660,rape victim,,,,
661,target bjp,,,,
662,,,,,
663,robo calls,,,,
664,pinky gang,every pink,pinky,this pinky,pink thing
665,rafale jets,126 rafale,,,
666,,,,,
667,bharatratna,the bharatratna,bhupen hazarika,,
668,,,,,
669,mehboobaforafzal terrorists,spokesperson bjp,terrorists,terrorists are,
670,delhi congress,hunger strike,rahul gandhi,gandhi,gandhi at
671,bad polarization,polarization got,,,
672,rights bjp,bjp,,,
673,rafale the,rafale,the rafale,,
674,rafale allegations,,,,
675,mistake congressis,,,,
676,stab india,,,,
677,gadkari,gadkari direct,nitin gadkari,,
678,rahulgandhi jumping,rahulgandhi,but rahulgandhi,rahul,of the_hindu
679,danave,danave will,sena minister,danave danave,president danave
680,charity kudos,charity,,,
681,congressmuktbharat we,for commiemuktbharat,dynastymuktcongress commies,commiemuktbharat,of congressmuktbharat
682,should resign,resign,resign unfortunately,,
683,bjp downfall,bjp,the bjp,suicidal tendency,
684,bjp bsybjp,bjp4karnataka doesnâ,bjp4karnataka,everyday bjp4karnataka,bjp in
685,bjp minister,narendra modiâ,modilies bjplies,minister narendra,heâ bjp
686,modi godi,about modi,godi media,modi,when modi
687,contradiction white,,,,
688,bigotry in,against bigotry,anti semitism,bigotry,
